Structure,Substructure,Makespan,Final_Solve,Total_Solve,Obj,Num
26,10,6,0.111,3.064,4,1
26,11,8,0.194,27.466,12,3
27,0,6,0.087,2.164,10,4
27,1,7,0.159,4.494,7,2
27,2,6,0.140,2.881,10,3
27,3,6,0.140,3.158,12,4
27,4,6,0.145,3.239,12,4
27,5,7,0.153,5.679,7,2
27,6,5,0.030,0.887,2,1
27,7,5,0.028,0.837,2,1
30,0,8,0.625,8.494,14,4
30,1,7,0.274,5.948,12,3
30,2,8,0.302,8.776,10,2
30,3,7,0.367,14.805,11,3
30,4,6,0.146,3.078,8,3
30,5,7,0.264,15.251,9,3
30,6,6,0.124,2.934,8,2
30,7,7,0.140,4.991,7,2
30,8,8,0.372,9.196,14,3
30,9,6,0.091,2.628,6,2
30,10,6,0.077,2.261,6,2
30,11,6,0.052,2.063,4,1
30,12,5,0.026,0.800,2,1
30,13,5,0.025,0.790,8,4
31,0,6,0.084,2.087,10,4
31,1,7,0.227,5.889,7,2
31,2,6,0.089,2.591,6,2
31,3,6,0.060,2.090,6,2
31,4,8,0.289,8.764,20,4
31,5,8,0.252,7.019,14,3
31,6,7,0.148,13.712,9,2
31,7,7,0.157,13.780,9,3
31,8,6,0.075,2.265,6,2
31,9,5,0.029,0.833,2,1
31,10,5,0.026,0.827,8,4
32,0,8,0.352,7.760,14,4
32,1,6,0.093,2.288,6,2
32,2,6,0.086,2.227,14,5
32,3,8,0.321,8.821,12,3
32,4,9,0.535,20.574,17,3
32,5,6,0.085,2.171,8,3
32,6,7,0.151,4.765,7,2
32,7,9,0.458,16.764,12,2
32,8,6,0.076,2.268,4,1
32,9,7,0.151,4.803,7,2
32,10,7,0.150,4.108,11,3
32,11,6,0.077,2.222,6,2
32,12,7,0.121,13.869,9,3
33,0,7,0.187,13.981,9,3
33,1,6,0.093,2.328,6,2
33,2,7,0.170,4.844,7,2
33,3,6,0.082,2.240,12,4
33,4,7,0.172,5.044,11,3
33,5,8,0.282,6.977,12,3
33,6,6,0.073,2.096,8,3
33,7,7,0.133,13.598,9,3
33,8,6,0.053,2.012,6,2
33,9,6,0.060,2.067,10,4
34,0,6,0.086,2.136,14,5
34,1,6,0.080,2.378,8,3
34,2,8,0.333,6.891,20,4
34,3,7,0.153,14.210,7,2
34,4,6,0.092,2.647,6,2
34,5,6,0.095,2.648,6,2
34,6,7,0.195,6.120,7,2
34,7,5,0.025,0.810,2,1
34,8,5,0.025,0.805,8,4
35,0,7,0.172,13.572,11,4
35,1,6,0.084,2.065,10,4
35,2,7,0.169,5.668,7,2
35,3,8,0.289,9.003,16,3
35,4,6,0.075,2.092,8,3
35,5,7,0.154,6.863,7,2
35,6,8,0.229,10.290,12,3
35,7,6,0.057,2.032,8,3
35,8,7,0.234,5.822,15,4
35,9,7,0.199,5.990,7,2
35,10,8,0.164,11.139,10,2
36,0,7,0.339,14.790,9,3
36,1,6,0.195,3.162,14,5
36,2,8,0.332,9.296,20,5
36,3,6,0.150,2.293,8,3
36,4,7,0.276,7.347,7,2
36,5,8,0.302,10.007,10,2
36,6,7,0.145,4.649,7,2
36,7,7,0.236,14.972,11,3
36,8,6,0.061,2.680,6,2
36,9,5,0.022,0.788,6,3
37,0,8,0.611,10.706,20,4
37,1,9,0.682,23.511,15,3
37,2,6,0.088,2.186,8,3
37,3,6,0.092,2.130,8,3
37,4,7,0.153,4.503,7,2
37,5,6,0.115,2.479,6,2
37,6,7,0.274,6.772,7,2
37,7,5,0.051,1.216,2,1
37,8,5,0.053,1.221,2,1
37,9,5,0.058,1.148,2,1
37,10,5,0.040,1.043,2,1
37,11,5,0.027,0.869,2,1
37,12,6,0.071,2.173,4,1
37,13,5,0.023,0.790,4,2
38,0,7,0.315,14.386,11,4
38,1,6,0.106,2.852,8,3
38,2,8,0.545,8.136,12,3
38,3,8,0.305,9.953,14,4
38,4,8,0.409,7.453,14,4
38,5,6,0.104,3.032,6,2
38,6,6,0.130,2.639,8,3
38,7,6,0.060,1.989,6,2
38,8,8,0.195,8.718,10,2
39,0,7,0.289,14.202,11,4
